"First Name";"Last Name";"Company / Account";"Budget";"Lead Owner"
"Henry";"Moore";"Skyline Tech";"88890";"Account Executive Queue"
"Olivia";"Williams";"MegaSys";"66677";"Account Executive Queue"
"Sophia";"Taylor";"CloudNova";"98789";"Account Executive Queue"
"Liam";"Rodriguez";"Greenfield Systems";"90123";"Account Executive Queue"
"Luna";"Davis";"FusionWorks";"67890";"Account Executive Queue"
"Henry";"Jones";"PrimeEdge";"54321";"Account Executive Queue"
"Benjamin";"Williams";"MegaSys";"56789";"Account Executive Queue"
"Ethan";"Jackson";"Pioneer Tech";"88990";"Account Executive Queue"
"Isabella";"Moore";"Blue Horizon Ltd";"66778";"Account Executive Queue"
"Lucas";"Anderson";"Visionary Minds";"99001";"Account Executive Queue"
"Elijah";"Gonzalez";"CloudNova";"78901";"Account Executive Queue"
"Ava";"Lopez";"NextGen Solutions";"54321";"Account Executive Queue"
"Olivia";"Davis";"TechCorp";"77889";"Account Executive Queue"
"Liam";"Jones";"Greenfield Systems";"55667";"Account Executive Queue"
"Evelyn";"Johnson";"CyberVista";"66778";"Account Executive Queue"
"Benjamin";"Smith";"MegaSys";"99001";"Account Executive Queue"
"Harper";"Martin";"QuantumLogic";"78901";"Account Executive Queue"
"James";"Jackson";"Summit Enterprises";"67890";"Account Executive Queue"
"Ethan";"Taylor";"Pioneer Tech";"98765";"Account Executive Queue"
"Mason";"Anderson";"Skyline Tech";"54321";"Account Executive Queue"
"Elijah";"Hernandez";"CloudNova";"77889";"Account Executive Queue"
"Ava";"Martinez";"NextGen Solutions";"55667";"Account Executive Queue"
"Olivia";"Brown";"TechCorp";"66778";"Account Executive Queue"
"Liam";"Williams";"Greenfield Systems";"90123";"Account Executive Queue"
"Luna";"Johnson";"FusionWorks";"99001";"Account Executive Queue"
"Henry";"Smith";"PrimeEdge";"78901";"Account Executive Queue"
"Harper";"Moore";"QuantumLogic";"98765";"Account Executive Queue"
"Ethan";"Anderson";"Pioneer Tech";"54321";"Account Executive Queue"
"Isabella";"Wilson";"Blue Horizon Ltd";"55667";"Account Executive Queue"
